CD,Name,Population,Area (Sq Mi),Density
1,Gilbert Cedillo,236900,15.8,14993.67089
2,Paul Krekorian,252300,25,10092
3,Bob Blumenfield,264400,36.6,7224.043716
4,David Ryu,248300,41,6056.097561
5,Paul Koretz,264900,37.5,7064
6,Nury Martinez,258000,27.2,9485.294118
7,Felipe Fuentes,260000,54.1,4805.914972
8,Marqueece Harris-Dawson Mike Bonin,250200,16,15637.5
9,Curren D. Price Jr.,266000,13,20461.53846
10,Herb J. Wesson Jr.,244900,14.5,16889.65517
11,Mike Bonin,289400,63.8,4536.050157
12,Mitchell Englander,284400,58.7,4844.974446
13,Mitch O'Farrell,252300,13.6,18551.47059
14,Jose Huizar,236900,24.2,9789.256198
15,Joe Buscaino,275500,32.1,8582.554517